senatore,nome,cognome,sesso,legislatura,inizioMandato,fineMandato,tipoMandato,tipoFineMandato,dataNascita,cittaNascita,provinciaNascita,nazioneNascita
http://dati.senato.it/senatore/25429,Giovanna,Petrenga,F,19,2022-10-13,,elettivo,,1956-07-06,Casal Di Principe,Caserta,Italia
http://dati.senato.it/senatore/36416,Simona,Petrucci,F,19,2022-10-13,,elettivo,,1971-04-17,Grosseto,Grosseto,Italia
http://dati.senato.it/senatore/30512,Renzo,Piano,M,19,2022-10-13,,"a vita, di nomina del Presidente della Repubblica",,1937-09-14,Genova,Genova,Italia
http://dati.senato.it/senatore/36417,Luca,Pirondini,M,19,2022-10-13,,elettivo,,1981-06-08,Genova,Genova,Italia
http://dati.senato.it/senatore/18562,Daisy,Pirovano,F,19,2022-10-13,,elettivo,,1977-12-19,Romano Di Lombardia,Bergamo,Italia
http://dati.senato.it/senatore/32691,Elisa,Pirro,F,19,2022-10-13,,elettivo,,1973-07-15,Torino,Torino,Italia
http://dati.senato.it/senatore/36441,Salvo,Pogliese,M,19,2022-10-13,,elettivo,,1972-03-03,CATANIA,Catania,Italia
http://dati.senato.it/senatore/33022,Manfredi,Potenti,M,19,2022-10-13,,elettivo,,1976-07-21,Cecina,Livorno,Italia
http://dati.senato.it/senatore/32697,Stefania,Pucciarelli,F,19,2022-10-13,,elettivo,,1967-03-06,Sarzana,La Spezia,Italia
http://dati.senato.it/senatore/36418,Vincenza,Rando,F,19,2022-10-13,,elettivo,,1958-06-09,Niscemi,Caltanissetta,Italia
http://dati.senato.it/senatore/36419,Ernesto,Rapani,M,19,2022-10-13,,elettivo,,1967-05-02,Rossano,Cosenza,Italia
http://dati.senato.it/senatore/36442,Sergio,Rastrelli,M,19,2022-10-13,,elettivo,,1966-01-17,NAPOLI,Napoli,Italia
http://dati.senato.it/senatore/32699,Isabella,Rauti,F,19,2022-10-13,,elettivo,,1962-11-17,Roma,Roma,Italia
http://dati.senato.it/senatore/30742,Matteo,Renzi,M,19,2022-10-13,,elettivo,,1975-01-11,Firenze,Firenze,Italia
http://dati.senato.it/senatore/32703,Tatjana,Rojc,F,19,2022-10-13,,elettivo,,1961-10-26,Trieste,Trieste,Italia
http://dati.senato.it/senatore/32706,Massimiliano,Romeo,M,19,2022-10-13,,elettivo,,1971-01-22,Monza,Monza e Brianza,Italia
http://dati.senato.it/senatore/32707,Licia,Ronzulli,F,19,2022-10-13,,elettivo,,1975-09-14,Milano,Milano,Italia
http://dati.senato.it/senatore/36420,Gianni,Rosa,M,19,2022-10-13,,elettivo,,1965-03-27,Potenza,Potenza,Italia
http://dati.senato.it/senatore/32779,Roberto,Rosso,M,19,2022-10-13,,elettivo,,1967-08-16,TORINO,Torino,Italia
http://dati.senato.it/senatore/25411,Anna,Rossomando,F,19,2022-10-13,,elettivo,,1963-06-30,Torino,Torino,Italia
http://dati.senato.it/senatore/30510,Carlo,Rubbia,M,19,2022-10-13,,"a vita, di nomina del Presidente della Repubblica",,1934-03-31,Gorizia,Gorizia,Italia
http://dati.senato.it/senatore/36421,Raoul,Russo,M,19,2022-10-13,,elettivo,,1971-03-03,Palermo,Palermo,Italia
http://dati.senato.it/senatore/36422,Salvatore,Sallemi,M,19,2022-10-13,,elettivo,,1977-01-31,Vittoria,Ragusa,Italia
http://dati.senato.it/senatore/25407,Matteo,Salvini,M,19,2022-10-13,,elettivo,,1973-03-09,Milano,Milano,Italia
http://dati.senato.it/senatore/36443,Giorgio,Salvitti,M,19,2022-10-13,,elettivo,,1968-02-10,COLLEFERRO,Roma,Italia
http://dati.senato.it/senatore/36444,Giovanni,Satta,M,19,2022-10-13,,elettivo,,1965-01-22,ROMA,Roma,Italia
http://dati.senato.it/senatore/25402,Daniela,Sbrollini,F,19,2022-10-13,,elettivo,,1971-09-30,Latiano,Brindisi,Italia
http://dati.senato.it/senatore/29573,Ivan,Scalfarotto,M,19,2022-10-13,,elettivo,,1965-08-16,Pescara,Pescara,Italia
http://dati.senato.it/senatore/36423,Roberto Maria Ferdinando,Scarpinato,M,19,2022-10-13,,elettivo,,1952-01-14,Caltanissetta,Caltanissetta,Italia
